2022-06-13 16:44:08,040 | INFO     | ########################-Monitoring Begins-######################## 
2022-06-13 16:44:08,040 | INFO     | Scaling interval  = 30 and CPU HalfLife = 60 UP is 1.75 down is 0.75
2022-06-13 16:44:08,043 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:08,595 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:09,158 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:09,711 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:10,278 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:10,906 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:11,515 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:12,076 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:12,700 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:13,316 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:13,934 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:14,562 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:15,173 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:15,799 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:16,458 | WARNING  | ----------- While Loop ----------- 
2022-06-13 16:44:17,082 | WARNING  | ----------- While Loop ----------- 
